segment,object_code,object_name,country,parameter,date,value,source_file
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-24,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-25,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-26,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-27,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-28,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-29,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-30,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-31,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-01,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-02,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-03,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-04,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-05,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-06,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-07,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-08,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-09,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-10,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-12,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-13,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-14,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-15,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-16,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-17,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-18,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-19,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-20,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-21,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-22,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-23,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-24,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-25,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-26,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-27,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-28,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-29,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-30,0.0,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Kyrgyzstan,discharge,2022-08-31,0.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-01,29.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-02,30.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-03,28.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-05,31.5,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-06,31.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-07,30.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-08,30.85,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-09,30.3,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-10,30.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-12,30.3,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-13,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-14,31.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-15,30.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-16,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-17,31.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-18,30.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-19,29.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-20,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-21,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-22,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-23,32.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-24,32.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-25,28.5,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-26,31.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-27,30.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-28,30.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-29,28.5,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-30,29.4,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,all,discharge,2022-08-31,30.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-01,26.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-02,27.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-03,25.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-05,28.5,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-06,28.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-07,27.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-08,27.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-09,27.3,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-10,27.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-12,27.3,август 2022.xlsx
